,Date,OpenCL,HighCL,LowCL,CloseCL,OpenDA,HighDA,LowDA,CloseDA,delta_C,delta_D,delta_C_squared,delta_D_squared,lag_delta_C_squared,lag_delta_D_squared,lag2_delta_C_squared,lag2_delta_D_squared,lag3_delta_C_squared,lag3_delta_D_squared,lag4_delta_C_squared,lag4_delta_D_squared,lag_delta_C,lag_delta_D
35,5/12/2014,100.1200027,100.9300003,99.93000031,100.5899963,37.77000046,38.68999863,37.74000168,38.65000153,0.469993591,0.880001068,0.220893976,0.77440188,0.078399316,0.022500458,0.313597266,0.13689921,0.883590247,0.184900262,0.014400659,0.577603247,-0.279998779,-0.150001526
36,5/13/2014,100.6299973,102.0500031,100.3600006,101.6999969,38.52000046,39.11000061,38.36999893,38.77999878,1.069999695,0.259998322,1.144899347,0.067599127,0.220893976,0.77440188,0.078399316,0.022500458,0.313597266,0.13689921,0.883590247,0.184900262,0.469993591,0.880001068
37,5/14/2014,101.9100037,102.6500015,101.8300018,102.3700027,38.63999939,38.86000061,38.18999863,38.43999863,0.459999084,-0.200000763,0.211599158,0.040000305,1.144899347,0.067599127,0.220893976,0.77440188,0.078399316,0.022500458,0.313597266,0.13689921,1.069999695,0.259998322
38,5/15/2014,102.0299988,102.2600021,101.2699966,101.5,38.08000183,38.36000061,37.33000183,38.13000107,-0.529998779,0.049999237,0.280898706,0.002499924,0.211599158,0.040000305,1.144899347,0.067599127,0.220893976,0.77440188,0.078399316,0.022500458,0.459999084,-0.200000763
39,5/16/2014,101.5599976,102.2300034,101.3899994,102.0199966,38.04000092,38.18999863,37.40999985,37.86000061,0.459999084,-0.180000305,0.211599158,0.03240011,0.280898706,0.002499924,0.211599158,0.040000305,1.144899347,0.067599127,0.220893976,0.77440188,-0.529998779,0.049999237
40,5/19/2014,102.1299973,103.0899963,101.9700012,102.6100006,37.68000031,38.72000122,37.59999847,38.38999939,0.480003357,0.709999084,0.230403223,0.5040987,0.211599158,0.03240011,0.280898706,0.002499924,0.211599158,0.040000305,1.144899347,0.067599127,0.459999084,-0.180000305
41,5/20/2014,102.5999985,102.8600006,102.0999985,102.4400024,38.40000153,38.45000076,37.47000122,37.83000183,-0.159996033,-0.569999695,0.02559873,0.324899652,0.230403223,0.5040987,0.211599158,0.03240011,0.280898706,0.002499924,0.211599158,0.040000305,0.480003357,0.709999084
42,5/21/2014,102.9599991,104.2900009,102.7799988,104.0699997,38.00999832,38.47000122,37.97000122,38.34000015,1.11000061,0.330001831,1.232101355,0.108901208,0.02559873,0.324899652,0.230403223,0.5040987,0.211599158,0.03240011,0.280898706,0.002499924,-0.159996033,-0.569999695
43,5/22/2014,103.8499985,104.2200012,103.5500031,103.7399979,38.36999893,38.84999847,38.29000092,38.63000107,-0.11000061,0.260002136,0.012100134,0.067601111,1.232101355,0.108901208,0.02559873,0.324899652,0.230403223,0.5040987,0.211599158,0.03240011,1.11000061,0.330001831
44,5/23/2014,103.7099991,104.5,103.6399994,104.3499985,38.77000046,39.54999924,38.65000153,39.15999985,0.63999939,0.38999939,0.409599219,0.152099524,0.012100134,0.067601111,1.232101355,0.108901208,0.02559873,0.324899652,0.230403223,0.5040987,-0.11000061,0.260002136
45,5/27/2014,104.3399963,104.5,103.5699997,104.1100006,39.56000137,39.59999847,39.31999969,39.45999908,-0.229995728,-0.100002289,0.052898035,0.010000458,0.409599219,0.152099524,0.012100134,0.067601111,1.232101355,0.108901208,0.02559873,0.324899652,0.63999939,0.38999939
46,5/28/2014,104.1399994,104.3899994,102.6399994,102.7200012,39.52000046,40.68999863,39.49000168,40.27000046,-1.419998169,0.75,2.0163948,0.5625,0.052898035,0.010000458,0.409599219,0.152099524,0.012100134,0.067601111,1.232101355,0.108901208,-0.229995728,-0.100002289
47,5/29/2014,103.0599976,103.9400024,102.6100006,103.5800018,40.31999969,40.65000153,39.63999939,40.13999939,0.520004272,-0.180000305,0.270404443,0.03240011,2.0163948,0.5625,0.052898035,0.010000458,0.409599219,0.152099524,0.012100134,0.067601111,-1.419998169,0.75
48,5/30/2014,103.5100021,103.5599976,102.4000015,102.7099991,40.13999939,40.54000092,39.66999817,39.90999985,-0.800003052,-0.229999542,0.640004883,0.052899789,0.270404443,0.03240011,2.0163948,0.5625,0.052898035,0.010000458,0.409599219,0.152099524,0.520004272,-0.180000305
49,6/2/2014,102.9199982,103.3499985,102.0999985,102.4700012,40.13999939,40.95000076,39.75999832,40.77000046,-0.449996948,0.630001068,0.202497253,0.396901346,0.640004883,0.052899789,0.270404443,0.03240011,2.0163948,0.5625,0.052898035,0.010000458,-0.800003052,-0.229999542
